vin,year,make,model,trim,body,transmission,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
wbadw3c59ce824298,2012,BMW,3 Series,328i,Convertible,automatic,nv,46.0,21003.0,blue,—,financial services remarketing (lease),28400.0,29500.0,Thu Feb 19 2015 14:00:00 GMT-0800 (PST)
wbaxh5c56cdw04352,2012,BMW,5 Series,528i xDrive,Sedan,automatic,oh,41.0,38685.0,gray,black,financial services remarketing (lease),29000.0,30250.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wba3a5c54cf344878,2012,BMW,3 Series,328i,Sedan,automatic,wa,45.0,22352.0,silver,black,financial services remarketing (lease),24700.0,27750.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
wbadw3c52ce822201,2012,BMW,3 Series,328i,Convertible,automatic,oh,44.0,40911.0,red,gray,financial services remarketing (lease),26300.0,25750.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbakf5c50ce656845,2012,BMW,3 Series,328i xDrive,Coupe,automatic,oh,38.0,33094.0,white,brown,financial services remarketing (lease),22500.0,22750.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbakf9c51ce672348,2012,BMW,3 Series,335i xDrive,Coupe,manual,oh,4.0,28577.0,black,brown,financial services remarketing (lease),29800.0,28750.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbaxh5c56cdw02326,2012,BMW,5 Series,528i xDrive,Sedan,automatic,nv,48.0,49555.0,gray,black,financial services remarketing (lease),27700.0,29000.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbauc9c51cvm13067,2012,BMW,1 Series,135i,Coupe,automatic,ca,42.0,20161.0,black,brown,clear view systems,25300.0,25800.0,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
wbadw7c55ce728983,2012,BMW,3 Series,328i,Convertible,automatic,nv,42.0,32313.0,red,beige,financial services remarketing (lease),27700.0,27500.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbaxh5c56cdw08577,2012,BMW,5 Series,528i xDrive,Sedan,automatic,oh,42.0,24349.0,black,black,financial services remarketing (lease),29400.0,28000.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
wbakf5c50ce656540,2012,BMW,3 Series,328i xDrive,Coupe,automatic,oh,44.0,23564.0,gray,black,financial services remarketing (lease),23700.0,24000.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbasn2c59cc202039,2012,BMW,5 Series Gran Turismo,535i,Hatchback,automatic,nv,45.0,37744.0,white,tan,financial services remarketing - pickup,31600.0,36250.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbaxg5c56cdy29924,2012,BMW,5 Series,528i,Sedan,automatic,ca,46.0,35145.0,black,black,ferrari & maserati of san diego,29400.0,29500.0,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
wbaxh5c57cdw02142,2012,BMW,5 Series,528i xDrive,Sedan,automatic,oh,47.0,34065.0,blue,brown,financial services remarketing (lease),29800.0,29500.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbaxg5c51cdx03504,2012,BMW,5 Series,528i,Sedan,automatic,nv,47.0,23418.0,gray,gray,financial services remarketing - pickup,31500.0,32000.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbaxh5c56cdw09681,2012,BMW,5 Series,528i xDrive,Sedan,automatic,oh,41.0,44156.0,black,black,financial services remarketing (lease),28100.0,27500.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbadw7c51ce728298,2012,BMW,3 Series,328i,Convertible,automatic,nv,42.0,13989.0,blue,tan,financial services remarketing (lease),30400.0,29750.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbadx1c5xce825509,2012,BMW,3 Series,335is,Convertible,automatic,wa,48.0,25532.0,red,tan,financial services remarketing (lease),37000.0,40250.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
wbaup7c5xcvm54970,2012,BMW,1 Series,128i,Coupe,manual,oh,41.0,34031.0,black,black,financial services remarketing (lease),18500.0,19000.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbaxh5c53cdw05958,2012,BMW,5 Series,528i xDrive,Sedan,automatic,wa,46.0,46147.0,gray,black,financial services remarketing (lease),28200.0,29700.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
wbaxh5c50cdw06470,2012,BMW,5 Series,528i xDrive,Sedan,automatic,oh,4.0,26175.0,black,black,financial services remarketing (lease),31100.0,32750.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbaun1c50cvh84476,2012,BMW,1 Series,128i,Convertible,automatic,nv,29.0,22418.0,beige,brown,financial services remarketing (lease),23800.0,20750.0,Thu Feb 19 2015 14:30:00 GMT-0800 (PST)
wbaxh5c55cdw03371,2012,BMW,5 Series,528i xDrive,Sedan,automatic,nv,39.0,25921.0,gray,black,financial services remarketing (lease),31700.0,29000.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wba3a5c51cfj88914,2012,BMW,3 Series,328i,Sedan,automatic,nv,43.0,21517.0,blue,beige,financial services remarketing - pickup,27900.0,28750.0,Thu Feb 19 2015 14:30:00 GMT-0800 (PST)
wbakf9c5xce620717,2012,BMW,3 Series,335i xDrive,Coupe,automatic,nv,49.0,17595.0,black,black,financial services remarketing (lease),31500.0,32000.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbasn2c56cc202029,2012,BMW,5 Series Gran Turismo,535i,Hatchback,automatic,nv,46.0,21346.0,black,black,financial services remarketing - pickup,33700.0,36750.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbaxh5c50cdw02127,2012,BMW,5 Series,528i xDrive,Sedan,automatic,nv,42.0,21552.0,gray,black,financial services remarketing (lease),32400.0,32250.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbakf5c50ce656859,2012,BMW,3 Series,328i xDrive,Coupe,automatic,oh,41.0,31819.0,black,black,financial services remarketing (lease),22700.0,24250.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbaxh5c56cdw03203,2012,BMW,5 Series,528i xDrive,Sedan,automatic,nv,41.0,4604.0,gray,black,financial services remarketing (lease),35200.0,33250.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbadx7c57ce744695,2012,BMW,3 Series,335i,Convertible,automatic,wa,49.0,28709.0,gray,black,financial services remarketing (lease),30400.0,33750.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
wbaxh5c52cdw03599,2012,BMW,5 Series,528i xDrive,Sedan,automatic,nv,46.0,49985.0,gray,black,financial services remarketing (lease),25800.0,26250.0,Thu Feb 19 2015 14:00:00 GMT-0800 (PST)
wbakf3c56ce974361,2012,BMW,3 Series,328i xDrive,Coupe,automatic,oh,38.0,34831.0,black,red,financial services remarketing (lease),22300.0,22000.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wbadw7c59ce728825,2012,BMW,3 Series,328i,Convertible,automatic,nv,38.0,32796.0,white,tan,financial services remarketing (lease),27600.0,25300.0,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
wbaxh5c58cdw04384,2012,BMW,5 Series,528i xDrive,Sedan,automatic,oh,41.0,30091.0,black,gray,financial services remarketing (lease),30500.0,30750.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
wba3a5c5xcf342178,2012,BMW,3 Series,328i,Sedan,automatic,fl,38.0,36890.0,white,tan,lauderdale bmw of fort lauderdale,22800.0,22000.0,Fri Jan 16 2015 01:35:00 GMT-0800 (PST)
wbake3c51ce769596,2012,BMW,3 Series,328i,Coupe,automatic,fl,31.0,59205.0,gray,brown,fields of daytona llc,19900.0,19500.0,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
wbalw7c52cc618531,2012,BMW,6 Series,640i,Convertible,automatic,fl,45.0,15762.0,white,black,fields bmw,45000.0,49100.0,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
wbafr7c50cc809708,2012,BMW,5 Series,535i,Sedan,automatic,fl,39.0,36869.0,white,beige,fields bmw,34200.0,34800.0,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
wbafu7c57cdu62614,2012,BMW,5 Series,535i xDrive,Sedan,automatic,nv,38.0,57059.0,gray,black,financial services remarketing (lease),26600.0,26000.0,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
wbafu9c5xcc787324,2012,BMW,5 Series,550i xDrive,Sedan,automatic,oh,38.0,52777.0,black,black,financial services remarketing (lease),32800.0,32100.0,Tue May 19 2015 02:30:00 GMT-0700 (PDT)
wba3a5c50cf258970,2012,BMW,3 Series,328i,Sedan,automatic,fl,49.0,37245.0,brown,—,financial services remarketing (lease),33300.0,35800.0,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
wbaxh5c51cdw10379,2012,BMW,5 Series,528i xDrive,Sedan,,oh,43.0,33493.0,gray,black,financial services remarketing (lease),26300.0,26500.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
wbadw7c54ce729669,2012,BMW,3 Series,328i,Convertible,automatic,nv,39.0,51300.0,silver,tan,financial services remarketing (lease),24600.0,22500.0,Thu May 14 2015 07:30:00 GMT-0700 (PDT)
wbafr7c50cc811085,2012,BMW,5 Series,535i,Sedan,automatic,ca,46.0,28746.0,white,—,financial services remarketing (lease),30800.0,28000.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
wbafr7c58cc811495,2012,BMW,5 Series,535i,Sedan,automatic,ca,42.0,39466.0,gray,black,financial services remarketing (lease),29400.0,26750.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
5uxzv4c50cl990480,2012,BMW,X5,xDrive35i Premium,SUV,automatic,ca,35.0,30903.0,black,black,financial services remarketing (lease),35700.0,35500.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
wball5c59ce716635,2012,BMW,Z4,sDrive28i,Convertible,automatic,ca,42.0,21648.0,gray,black,financial services remarketing (lease),32400.0,25825.0,Thu Mar 26 2015 05:30:00 GMT-0700 (PDT)
wbafr9c58cdv58541,2012,BMW,5 Series,550i,Sedan,automatic,ca,47.0,23679.0,white,gray,financial services remarketing (lease),38300.0,37300.0,Thu Mar 26 2015 05:30:00 GMT-0700 (PDT)
wbalz3c59cdl72426,2012,BMW,6 Series,650i,Convertible,automatic,ca,43.0,41707.0,blue,—,financial services remarketing (lease),41600.0,37000.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
wbafr7c57cc813870,2012,BMW,5 Series,535i,Sedan,automatic,oh,45.0,39269.0,black,gray,bobb automotive inc,29200.0,26300.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
wbafr7c51cc809894,2012,BMW,5 Series,535i,Sedan,automatic,ca,46.0,17751.0,black,black,financial services remarketing (lease),34200.0,22000.0,Thu Apr 23 2015 05:30:00 GMT-0700 (PDT)
wbafr7c52cc810116,2012,BMW,5 Series,535i,Sedan,automatic,ca,44.0,37918.0,gray,black,financial services remarketing (lease),29600.0,29250.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
wbaxg5c55cdy28182,2012,BMW,5 Series,528i,Sedan,automatic,ca,44.0,26684.0,black,—,financial services remarketing (lease),27900.0,29000.0,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
wbalm1c5xce633818,2012,BMW,Z4,sDrive35is,Convertible,automatic,fl,46.0,13024.0,black,red,bartow ford co,39600.0,40400.0,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
wbalm7c51ce384585,2012,BMW,Z4,sDrive35i,Convertible,automatic,fl,5.0,24046.0,white,red,lauderdale imports ltd bmw pembrok pines,35000.0,35800.0,Fri Mar 06 2015 01:35:00 GMT-0800 (PST)
wbalw3c55cc892122,2012,BMW,6 Series,640i,Coupe,automatic,ca,38.0,46507.0,white,tan,high bid trading co inc,40400.0,41500.0,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
5uxzv4c57cl991383,2012,BMW,X5,xDrive35i Premium,SUV,,pa,43.0,39819.0,gray,black,r hollenshead auto sales inc,33700.0,34700.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
5uxwx5c58cl727768,2012,BMW,X3,xDrive28i,SUV,,pa,35.0,31321.0,black,black,r hollenshead auto sales inc,27600.0,27000.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
wbalw7c55cc618717,2012,BMW,6 Series,640i,Convertible,automatic,ca,43.0,48956.0,white,off-white,high bid trading co inc,40300.0,43000.0,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
wbafu7c51cdu59238,2012,BMW,5 Series,535i xDrive,Sedan,,pa,43.0,23284.0,gray,black,r hollenshead auto sales inc,36600.0,34500.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
wbaxh5c53cdw05653,2012,BMW,5 Series,528i xDrive,Sedan,automatic,nv,42.0,43950.0,gray,black,unique autos,26600.0,28500.0,Fri Feb 20 2015 03:45:00 GMT-0800 (PST)
wbaxh5c5xcdw07982,2012,BMW,5 Series,528i xDrive,Sedan,,pa,46.0,36641.0,silver,black,r hollenshead auto sales inc,27800.0,29000.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
wbaxh5c52cdw07376,2012,BMW,5 Series,528i xDrive,Sedan,,pa,49.0,45873.0,blue,tan,r hollenshead auto sales inc,26400.0,26250.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
wba3a5c53cf341289,2012,BMW,3 Series,328i,Sedan,automatic,fl,37.0,37714.0,gray,beige,braman motorcars,24000.0,24200.0,Thu Feb 19 2015 01:40:00 GMT-0800 (PST)
wba3c1c53cf430198,2012,BMW,3 Series,328i,Sedan,automatic,ca,28.0,50141.0,black,black,high bid trading co inc,22200.0,25250.0,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
wbaka4c55cds99323,2012,BMW,7 Series,740i,Sedan,automatic,ca,45.0,28104.0,gray,black,mckenna audi/mckenna bmw,35400.0,33750.0,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
wbaxh5c58cdw07799,2012,BMW,5 Series,528i xDrive,Sedan,,pa,46.0,29926.0,silver,gray,mi joe auto sales,28700.0,30500.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
wbaxh5c59cdw05561,2012,BMW,5 Series,528i xDrive,Sedan,,pa,42.0,36664.0,silver,black,mi joe auto sales,27700.0,27600.0,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
wbaxg5c56cc594298,2012,BMW,5 Series,528i,Sedan,automatic,tx,42.0,40937.0,black,beige,mid city mcandrew motors,27000.0,27850.0,Thu Feb 19 2015 11:00:00 GMT-0800 (PST)
wbaun7c5xcvm25913,2012,BMW,1 Series,135i,Convertible,,pa,46.0,16016.0,black,red,mi joe auto sales,28500.0,28800.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
wbadw3c58ce822722,2012,BMW,3 Series,328i,Convertible,,pa,34.0,34235.0,red,tan,bmw of alexandria,26700.0,25500.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
wbafz9c55cc751736,2012,BMW,ActiveHybrid 5,Base,Sedan,automatic,ca,43.0,31294.0,white,beige,mercedes benz of laguna niguel,25100.0,28000.0,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
wba3a5c51cf258475,2012,BMW,3 Series,328i,Sedan,,ga,42.0,27806.0,white,gray,financial services remarketing (lease),21500.0,21000.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
wba3a5g56cnn65463,2012,BMW,3 Series,328i,Sedan,,ga,41.0,28232.0,gray,tan,financial services remarketing (lease),23300.0,23200.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
wbaxh5c55cdw06996,2012,BMW,5 Series,528i xDrive,Sedan,automatic,pa,43.0,43917.0,black,beige,falcon autohaus inc,25000.0,25900.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
5uxzw0c54cl669516,2012,BMW,X5,xDrive35d,SUV,automatic,fl,43.0,42331.0,silver,black,braman motorcars,32300.0,30800.0,Thu May 21 2015 02:40:00 GMT-0700 (PDT)
wbalm7c59ce384687,2012,BMW,Z4,sDrive35i,Convertible,automatic,ca,38.0,27843.0,gray,black,financial services remarketing (lease),35000.0,47300.0,Wed Apr 01 2015 05:30:00 GMT-0700 (PDT)
wbakb4c54cc575655,2012,BMW,7 Series,740Li,Sedan,automatic,ca,24.0,45240.0,gray,black,financial services remarketing (lease),34400.0,28000.0,Wed Apr 15 2015 05:30:00 GMT-0700 (PDT)
wbaxg5c50cdx05647,2012,BMW,5 Series,528i,Sedan,automatic,ca,44.0,23608.0,gray,black,financial services remarketing (lease),29000.0,27000.0,Wed Apr 01 2015 05:30:00 GMT-0700 (PDT)
